City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
199,Tagusao,PH,9.1924,117.8141,80.56,83,95,7.74,overcast clouds
200,General Roca,AR,-39.0333,-67.5833,43.68,85,100,18.01,overcast clouds
201,Bathsheba,BB,13.2167,-59.5167,86.61,74,20,20.71,few clouds
202,New Norfolk,AU,-42.7826,147.0587,51.3,80,100,1.99,light rain
203,Clyde River,CA,70.4692,-68.5914,34.03,93,100,4.61,overcast clouds
204,Asmara,ER,15.3333,38.9333,66.07,62,99,6.51,overcast clouds
205,Yerbogachen,RU,61.2767,108.0108,37.92,62,100,5.77,overcast clouds
206,Kankon,IN,15.0167,74.0167,78.91,84,22,6.49,few clouds
207,Otradnyy,RU,53.376,51.3452,76.03,44,62,8.28,broken clouds
208,Potam,MX,27.6,-110.3833,80.01,64,1,6.26,clear sky
209,Cap Malheureux,MU,-19.9842,57.6142,69.48,77,57,8.01,moderate rain
210,Honiara,SB,-9.4333,159.95,78.19,83,99,9.1,overcast clouds
211,Ancud,CL,-41.8697,-73.8203,44.22,89,100,5.06,light rain
212,Campbell River,CA,50.0163,-125.2446,53.46,81,20,5.75,few clouds
213,San Quintin,MX,30.4833,-115.95,65.55,82,1,7.74,clear sky
214,Lugovoy,KZ,42.9472,72.7644,76.39,21,84,3.47,broken clouds
215,Mednogorsk,RU,51.4128,57.595,73.6,42,25,9.13,scattered clouds
216,Xai-Xai,MZ,-25.0519,33.6442,89.53,35,0,8.75,clear sky
217,Oranjemund,NA,-28.55,16.4333,58.32,64,100,17.74,overcast clouds
218,Komsomolskiy,UZ,40.4272,71.7189,83.12,24,7,6.91,clear sky
219,Harrison,US,30.4091,-89.0436,78.87,91,0,6.91,clear sky
220,Araouane,ML,18.9048,-3.5265,101.23,15,79,4.97,broken clouds
221,Gillette,US,44.2911,-105.5022,53.06,89,40,4.0,scattered clouds
222,Quzhou,CN,28.9594,118.8686,74.34,72,0,3.94,clear sky
223,Ponta Do Sol,PT,32.6667,-17.1,79.72,84,28,3.83,light rain
224,Catamarca,AR,-28.4696,-65.7852,69.58,36,0,5.99,clear sky
225,Port Lincoln,AU,-34.7333,135.8667,50.88,71,100,4.32,overcast clouds
226,Pedana,IN,16.2667,81.1667,82.58,77,100,6.64,overcast clouds
227,Klaksvik,FO,62.2266,-6.589,52.72,68,97,6.71,overcast clouds
228,Hamilton,US,39.1834,-84.5333,69.44,87,0,9.22,mist
229,Saldanha,ZA,-33.0117,17.9442,64.45,55,0,12.19,clear sky
230,Tual,ID,-5.6667,132.75,81.75,77,100,13.18,overcast clouds
231,Kembe,CF,4.6228,21.8865,70.93,98,100,3.47,light rain
232,Teya,RU,60.3778,92.6267,47.75,92,100,2.19,light rain
233,Joshimath,IN,30.5667,79.5667,69.42,86,91,0.83,overcast clouds
234,Derzhavinsk,KZ,51.1,66.3167,68.54,19,8,6.31,clear sky
235,Aba,NG,5.1066,7.3667,85.62,69,96,7.18,light rain
236,Gamba,GA,-2.65,10.0,79.12,70,62,9.73,broken clouds
237,Antofagasta,CL,-23.65,-70.4,56.48,67,21,7.81,few clouds
238,Mapiripan,CO,2.8892,-72.1256,76.69,86,89,2.48,overcast clouds
239,La Ronge,CA,55.1001,-105.2842,39.45,93,20,1.14,mist
240,Kendari,ID,-3.945,122.4989,76.68,91,99,2.82,overcast clouds
241,Thinadhoo,MV,0.5333,72.9333,82.83,69,94,7.0,overcast clouds
242,Porto Novo,BJ,6.4965,2.6036,82.22,70,94,11.27,light rain
243,Asosa,ET,10.0667,34.5333,71.06,86,96,2.44,moderate rain
244,Narsaq,GL,60.9167,-46.05,57.42,62,94,6.64,overcast clouds
245,Mount Isa,AU,-20.7333,139.5,76.77,23,0,6.91,clear sky
246,Jaciara,BR,-15.9653,-54.9683,92.21,28,0,6.69,clear sky
247,Banda Aceh,ID,5.5577,95.3222,80.1,77,100,11.79,overcast clouds
248,Barra Do Corda,BR,-5.5,-45.25,92.05,43,31,5.73,scattered clouds
249,Port Augusta,AU,-32.5,137.7667,52.14,90,100,8.03,overcast clouds
250,Providencia,MX,28.7167,-111.5833,82.45,57,0,6.08,clear sky
251,Port-Gentil,GA,-0.7193,8.7815,82.36,69,40,16.11,scattered clouds
252,Kaitangata,NZ,-46.2817,169.8464,43.54,94,100,6.73,overcast clouds
253,Mugur-Aksy,RU,50.35,90.5,40.06,63,2,3.38,clear sky
254,Balezino,RU,57.9796,53.0106,60.98,56,100,8.57,overcast clouds
255,Baijiantan,CN,45.6333,85.1833,71.92,22,0,5.66,clear sky
256,Popondetta,PG,-8.7537,148.2534,73.49,95,100,3.27,overcast clouds
257,Sokoto,NG,13.0609,5.239,88.75,51,90,3.96,overcast clouds
258,Teahupoo,PF,-17.8333,-149.2667,67.96,71,54,21.03,broken clouds
259,Chiang Klang,TH,19.2938,100.8617,75.76,97,13,0.78,few clouds
260,Rawson,AR,-43.3002,-65.1023,46.76,58,100,19.42,overcast clouds
261,Sao Mateus Do Sul,BR,-25.8742,-50.3828,60.96,62,16,5.86,few clouds
262,Menongue,AO,-14.6585,17.691,96.64,7,3,4.05,clear sky
263,Gimli,CA,50.6336,-96.9907,55.42,94,99,6.91,overcast clouds
264,Kahului,US,20.8947,-156.47,79.84,72,75,4.0,broken clouds
265,Iranshahr,IR,27.2025,60.6848,104.34,14,40,9.22,scattered clouds
266,Manga,BF,11.6636,-1.0731,83.32,68,94,6.62,light rain
267,Marsa Matruh,EG,31.3525,27.2453,82.6,61,40,11.5,scattered clouds
268,Edd,ER,13.9297,41.6925,93.22,67,62,15.68,broken clouds
269,Chernyshevskiy,RU,63.0128,112.4714,31.19,62,100,3.58,overcast clouds
270,Thompson,CA,55.7435,-97.8558,51.96,100,100,4.61,mist
271,Mount Gambier,AU,-37.8333,140.7667,47.71,78,92,8.43,overcast clouds
272,Pacific Grove,US,36.6177,-121.9166,61.43,81,88,8.99,moderate rain
273,Sao Filipe,CV,14.8961,-24.4956,78.04,74,61,7.83,broken clouds
274,Karratha,AU,-20.7377,116.8463,73.74,56,0,12.06,light rain
275,Camacha,PT,33.0833,-16.3333,72.82,69,40,10.36,scattered clouds
276,Ostrovnoy,RU,68.0531,39.5131,48.72,96,100,10.0,overcast clouds
277,Dharchula,IN,29.85,80.5333,71.22,93,61,0.72,moderate rain
278,Lavrentiya,RU,65.5833,-171.0,38.55,95,100,15.08,overcast clouds
279,Shestakovo,RU,56.4915,103.96,46.08,82,98,3.0,overcast clouds
280,Korla,CN,41.7597,86.1469,76.53,14,100,5.03,overcast clouds
281,Lasa,IT,46.6166,10.7002,65.7,41,36,6.26,scattered clouds
282,Cherskiy,RU,68.75,161.3,33.57,67,100,7.27,overcast clouds
283,Pacifica,US,37.6138,-122.4869,64.13,81,75,13.8,light rain
284,Sinnamary,GF,5.3833,-52.95,85.89,62,7,11.77,clear sky
285,Asau,RO,46.4333,26.4,63.52,76,99,15.19,overcast clouds
286,Xining,CN,36.6167,101.7667,56.07,81,77,2.51,broken clouds
287,Bontang,ID,0.1333,117.5,81.1,83,65,4.85,broken clouds
288,Penzance,GB,50.1186,-5.5371,64.76,68,11,10.63,few clouds
289,Plettenberg Bay,ZA,-34.0527,23.3716,56.86,82,100,8.61,overcast clouds
290,Aluksne,LV,57.4167,27.05,55.74,69,100,0.94,overcast clouds
291,Kangaba,ML,11.9333,-8.4167,75.22,84,100,4.65,overcast clouds
292,Akyab,MM,20.15,92.9,81.63,85,98,15.73,moderate rain
293,Aklavik,CA,68.2191,-135.0107,43.23,73,88,3.29,overcast clouds
294,Huanren,CN,41.2647,125.3667,51.03,84,0,4.74,clear sky
295,Esperance,AU,-33.8667,121.9,53.46,89,13,7.74,few clouds
296,Velingara,SN,13.15,-14.1167,74.7,93,100,3.29,light rain
297,Cayenne,GF,4.9333,-52.3333,86.04,70,75,8.05,broken clouds
298,Neiafu,TO,-18.65,-173.9833,75.88,83,40,5.75,scattered clouds
299,Mecca,SA,21.4267,39.8261,100.62,19,16,18.77,few clouds
300,Souillac,MU,-20.5167,57.5167,73.78,68,75,17.27,broken clouds
301,Praia Da Vitoria,PT,38.7333,-27.0667,80.85,74,20,6.15,few clouds
302,Saint-Francois,FR,46.4154,3.9054,63.84,39,0,4.61,clear sky
303,Kholbon,RU,51.8833,116.25,38.05,46,3,9.15,clear sky
304,Lata,PT,40.1629,-8.3327,90.07,44,54,5.88,broken clouds
305,Livani,LV,56.3543,26.1758,59.49,56,100,3.87,overcast clouds
306,Seoul,KR,37.5683,126.9778,80.2,74,0,8.05,clear sky
307,Chute-Aux-Outardes,CA,49.1168,-68.399,48.18,53,0,9.22,clear sky
308,Guozhen,CN,34.3659,107.359,72.82,85,100,1.99,overcast clouds
309,Kieta,PG,-6.2167,155.6333,79.29,85,98,10.45,moderate rain
310,Zatyshshya,UA,47.3335,29.8733,58.5,52,37,23.58,scattered clouds
311,Azle,US,32.8951,-97.5459,79.11,84,20,9.22,few clouds
312,Urucara,BR,-2.5364,-57.76,95.94,35,20,4.92,few clouds
313,Bemidji,US,47.4736,-94.8803,57.06,100,100,0.0,overcast clouds
314,Kismayo,SO,-0.3582,42.5454,79.47,75,73,14.72,broken clouds
315,Airai,TL,-8.9266,125.4092,60.69,61,58,2.1,broken clouds
316,Saint-Pierre,RE,-21.3393,55.4781,76.68,61,75,8.05,broken clouds
317,Shamkhal,RU,43.0596,47.3373,77.02,61,29,17.0,scattered clouds
318,Kirensk,RU,57.7853,108.1119,36.09,65,55,4.65,broken clouds
319,Tessalit,ML,20.1986,1.0114,103.24,18,97,8.05,overcast clouds
320,Moultonborough,US,43.7548,-71.3967,66.31,87,59,6.11,broken clouds
321,Kiambu,KE,-1.1667,36.8333,72.99,44,75,13.8,broken clouds
322,Lamu,KE,-2.2717,40.902,82.62,78,93,15.28,overcast clouds
