City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
654,Russell,US,74.91,clear sky,32.3502,-85.1999,Macs
655,Pasni,PK,80.35,clear sky,25.2631,63.471,Kashmiri Hotal
658,Bud,US,71.74,clear sky,39.447,-86.1758,Ted McQuinn Trust
661,Aguimes,ES,74.03,broken clouds,27.9054,-15.4461,Hotel Villa de Aguimes
667,Abhar,IR,77.99,clear sky,36.1468,49.218,مرکز تشخیص رنگ خودرو کرمی
668,Shetpe,KZ,84.63,clear sky,44.1667,52.1167,Rtsm Shetpe Analog
669,Coahuayana,MX,75.31,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
670,Pathein,MM,75.61,broken clouds,16.7833,94.7333,Pathein Hotel
673,Samarinda,ID,75.54,few clouds,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
675,Poplar Bluff,US,74.34,broken clouds,36.757,-90.3929,Holiday Inn Poplar Bluff
677,Alpena,US,73.11,clear sky,45.0617,-83.4327,Days Inn by Wyndham Alpena
678,Zhanaozen,KZ,84.11,clear sky,43.3,52.8,K.korabay 28A
680,Coruripe,BR,79.97,few clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
684,Wanning,CN,80.69,overcast clouds,18.8003,110.3967,Paradise Hotel
685,Concarneau,FR,70.83,clear sky,47.875,-3.9225,Brit Hotel de L' Océan
687,Bull Savanna,JM,81.99,scattered clouds,17.8868,-77.5902,Big Red's
690,Ambilobe,MG,80.67,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
691,Cairns,AU,78.75,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
693,Nha Trang,VN,80.6,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
696,Kasongo,CD,80.67,light rain,-4.45,26.6667,Guest Hôtel
697,Ishigaki,JP,78.93,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
698,Jawa,JO,84.51,haze,31.8525,35.9393,Home
699,Kalmunai,LK,82.24,overcast clouds,7.4167,81.8167,VS Villa
700,The Valley,AI,83.1,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
703,Kishi,NG,80.74,moderate rain,9.0833,3.85,New NCCF KISI
706,Kota Bahru,MY,80.55,few clouds,6.1333,102.2386,Grand Riverview Hotel
710,Howard Springs,AU,82.31,few clouds,-12.497,131.047,buffalo beach hostel
711,Bakel,SN,81.12,overcast clouds,14.905,-12.4568,Ablaye Diallo Bakel
713,Sabang,ID,83.1,overcast clouds,5.8933,95.3214,Hotel Citra
714,Shelton,US,73.02,scattered clouds,41.3165,-73.0932,Hilton Garden Inn Shelton
721,Atmakur,IN,80.38,overcast clouds,15.8833,78.5833,Mee seva atk
723,Poso,ID,76.89,broken clouds,-1.3959,120.7524,Hotel 77 Poso
725,Hami,CN,71.06,overcast clouds,42.8,93.45,Laoyutang Resort
726,Pangai,TO,76.26,light rain,-19.8,-174.35,Ha'apai Beach Resort
731,Nagua,DO,84.25,scattered clouds,19.3832,-69.8474,Hotel Cambri
733,Namatanai,PG,79.05,light rain,-3.6667,152.4333,Seagulls Inn Namatani
