City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
211,Uzunovo,RU,2022-09-10 22:35:54,54.5386,38.6173,42.66,66,33,5.1
212,Nyurba,RU,2022-09-10 22:35:54,63.2842,118.3319,34.02,83,22,5.93
213,Ballina,AU,2022-09-10 22:35:55,-28.8667,153.5667,63.79,68,3,6.4
214,Coquimbo,CL,2022-09-10 22:35:55,-29.9533,-71.3436,56.93,71,100,6.91
215,Nishihara,JP,2022-09-10 22:35:55,26.1842,127.7558,83.48,87,75,10.36
216,Najran,SA,2022-09-10 22:35:56,17.4924,44.1277,77.65,28,91,1.07
217,Tias,ES,2022-09-10 22:35:56,28.9611,-13.645,71.28,83,20,8.05
218,Namatanai,PG,2022-09-10 22:35:56,-3.6667,152.4333,84.29,62,71,12.8
219,Los Llanos De Aridane,ES,2022-09-10 22:35:57,28.6585,-17.9182,71.35,97,40,3.44
220,Kaitangata,NZ,2022-09-10 22:35:57,-46.2817,169.8464,51.94,64,4,5.23
221,San Patricio,US,2022-09-10 22:35:57,28.017,-97.5169,92.12,49,22,12.57
222,Iracoubo,GF,2022-09-10 22:35:58,5.4802,-53.2011,79.74,80,99,8.63
223,Sangar,RU,2022-09-10 22:33:15,63.9242,127.4739,34.95,87,31,5.28
224,Sault Sainte Marie,CA,2022-09-10 22:35:58,46.5168,-84.3333,66.76,84,75,11.5
225,Margate,GB,2022-09-10 22:35:59,51.3813,1.3862,62.69,93,10,1.99
226,Paamiut,GL,2022-09-10 22:35:59,61.994,-49.6678,44.01,78,100,8.55
227,Necochea,AR,2022-09-10 22:35:59,-38.5473,-58.7368,45.1,63,0,7.0
228,San Jose,US,2022-09-10 22:35:50,37.3394,-121.895,83.16,57,75,16.11
229,Comodoro Rivadavia,AR,2022-09-10 22:36:00,-45.8667,-67.5,55.26,50,0,3.44
230,Sao Filipe,CV,2022-09-10 22:37:00,14.8961,-24.4956,79.47,83,48,4.88
231,Quatre Cocos,MU,2022-09-10 22:37:01,-20.2078,57.7625,69.91,71,3,10.42
232,Sakaiminato,JP,2022-09-10 22:37:01,35.55,133.2333,73.38,94,75,2.3
233,Camopi,GF,2022-09-10 22:37:01,3.1655,-52.3158,75.2,81,69,1.61
234,Salvacion,PH,2022-09-10 22:37:02,7.9833,126.1333,75.83,90,97,1.74
